rank_sido,sido,sgg,adm_nm,score,c_norm,p_norm,t_norm,n_clinic,n_clinic_500m,n_clinic_1km,n_clinic_2km,p_raw,pop_total,pop_40plus,ratio_40plus,catchment_pop_1_5km,density_per_10k,t_raw,t_transit,nearest_station,station_dist_m,n_clinic_station_500m,med_desert_flag,centroid_mismatch_flag,suburban_cluster_flag,adm_cd,adm_cd10
39,경기도,부천시소사구,경기도 부천시소사구 범박동,0.575920245398773,0.7269938650306749,0.5444785276073619,0.03757668711656437,4,4,10,59,74691.845734375,28175,15398,0.5465,136673.09375,0.2926691633480346,46,53,소새울,1054,2,False,False,False,31052571,4119455000
40,경기도,안양시만안구,경기도 안양시만안구 석수2동,0.5716257668711657,0.9141104294478528,0.26993865030674846,0.3880368098159509,9,0,4,34,51568.87673437499,28686,18374,0.6405,80513.46875,1.1178253948970494,33,54,관악,565,1,False,False,False,31041610,4117160000
41,경기도,고양시일산동구,경기도 고양시일산동구 정발산동,0.5708588957055215,0.843558282208589,0.37883435582822084,0.20782208588957052,2,2,8,91,62072.43522187501,20958,13132,0.6266,99062.296875,0.20189315845600314,38,54,풍산,763,2,False,False,False,31103530,4128553000
42,경기도,부천시원미구,경기도 부천시원미구 중4동,0.5707055214723926,0.36809815950920244,0.7975460122699386,0.4616564417177914,14,10,45,103,101152.73572499999,16720,9900,0.5921,170837.25,0.8194934067365284,31,58,상동,958,27,False,False,False,31051671,4119266000
43,경기도,성남시분당구,경기도 성남시분당구 구미1동,0.5580521472392639,0.852760736196319,0.3098159509202454,0.3489263803680982,11,1,32,60,55009.35296718749,16037,9060,0.5649,97378.921875,1.1296079057149655,34,74,미금,708,31,False,False,False,31023720,4113566500
44,경기도,고양시일산동구,경기도 고양시일산동구 마두1동,0.5572852760736197,0.8773006134969326,0.3006134969325153,0.272239263803681,7,1,10,59,53736.845253125,22329,13373,0.5989,89725.90625,0.7801537251121383,36,59,백마,910,0,False,False,False,31103560,4128556000
45,경기도,부천시원미구,경기도 부천시원미구 상1동,0.5516871165644173,0.24846625766871167,0.9248466257668712,0.2369631901840491,14,13,22,100,116172.42959999999,23294,13769,0.5911,196536.0,0.7123376887694874,37,54,송내,573,17,False,False,False,31051681,4119268000
46,경기도,부천시원미구,경기도 부천시원미구 중3동,0.5513803680981595,0.21932515337423308,0.9033742331288344,0.4616564417177914,8,14,43,115,112094.85999375,21550,12969,0.6018,186265.96875,0.42949337732956117,31,57,신중동,514,20,False,False,False,31051661,4119265000
47,경기도,부천시소사구,경기도 부천시소사구 심곡본동,0.5509969325153374,0.24233128834355833,0.9601226993865031,0.0989263803680982,15,13,40,97,121398.40441562499,13861,9563,0.6899,175965.21875,0.8524411873298114,42,50,부천,516,34,False,False,False,31052521,4119452000
48,경기도,하남시,경기도 하남시 초이동,0.549808282208589,0.9900306748466258,0.12116564417177914,0.49769938650306744,0,0,0,9,31430.606596484376,2899,2007,0.6923,45400.26953125,0.0,30,74,길동생태공원(계획),1777,0,True,False,False,31180600,4145060000
49,경기도,성남시분당구,경기도 성남시분당구 구미동,0.5490030674846625,0.7392638036809815,0.46932515337423314,0.05138036809815949,14,3,14,46,69022.22385468749,27854,16803,0.6033,114407.796875,1.2236928236015383,45,79,오리,744,5,False,False,False,31023670,4113567000
50,경기도,광명시,경기도 광명시 광명6동,0.5485429447852761,0.9371165644171779,0.25,0.14340490797546013,7,0,1,52,50140.23503125,12480,7463,0.598,83846.546875,0.8348584719220138,40,56,광명사거리,1781,30,False,True,False,31060560,4121057000
